category,player,v1,v2,v3
recv,Malik Washington,46,317,3
recv,Tyjae Spears,45,264,0
recv,Rome Odunze,44,661,6
recv,Jordan Addison,42,610,3
recv,Xavier Worthy,42,532,1
recv,Marvin Harrison Jr.,41,608,4
recv,Jayden Higgins,41,525,6
recv,Ryan Flournoy,40,475,4
recv,Sam LaPorta,40,489,3
recv,Jaylen Warren,40,333,2
recv,Rachaad White,40,218,0
recv,Rico Dowdle,39,297,1
recv,Dalton Kincaid,39,571,5
recv,Keon Coleman,38,404,4
recv,Terry McLaurin,38,582,3
recv,Saquon Barkley,37,273,2
recv,Marvin Mims,37,322,1
recv,Travis Etienne,36,292,6
recv,Breece Hall,36,350,1
recv,Josh Jacobs,36,282,1
recv,Ricky Pearsall,36,528,0
recv,Tyrone Tracy Jr.,36,288,2
recv,Kyren Williams,36,281,3
recv,Garrett Wilson,36,395,4
recv,TreVeyon Henderson,35,221,1
recv,Xavier Legette,35,363,3
recv,Christian Watson,35,611,6
recv,Javonte Williams,35,137,2
recv,D'Andre Swift,34,299,1
recv,Kayshon Boutte,33,551,6
recv,Jalen Coker,33,394,3
recv,James Cook,33,291,2
recv,Chris Godwin,33,360,2
recv,Alvin Kamara,33,186,0
recv,Tony Pollard,33,206,0
recv,Dylan Sampson,33,271,2
pass,Tua Tagovailoa,2660,20
pass,Geno Smith,3025,19
pass,Justin Fields,1259,7
pass,Joe Flacco,2479,15
pass,Michael Penix,1982,9
rush,Tua Tagovailoa,43,0
rush,Geno Smith,109,0
rush,Justin Fields,383,4
rush,Joe Flacco,35,1
rush,Michael Penix,70,1
rush,Kareem Hunt,611,8
rush,Nick Chubb,506,3
rush,Devin Singletary,437,5
rush,Emanuel Wilson,496,3
rush,Ollie Gordon,199,3
rush,Devin Neal,206,2
rush,Kendre Miller,193,1
rush,Audric Estime,198,1
rush,Brashard Smith,151,0
rush,Isaiah Davis,236,1
rush,Jeremy McNichols,221,1
rush,Emari Demercado,312,0
rush,Jaleel McLaughlin,187,1
rush,Antonio Gibson,106,1
rush,Jerome Ford,73,0
rush,LeQuint Allen,94,0
rush,Samaje Perine,382,3
recv,Keenan Allen,81,777,4
recv,Troy Franklin,65,709,6
recv,Elic Ayomanor,41,515,4
recv,Sterling Shepard,39,371,1
recv,Olamide Zaccheaus,39,313,2
recv,Kendrick Bourne,37,551,0
recv,Darius Slayton,37,538,1
recv,Xavier Hutchinson,35,428,3
recv,Andrei Iosivas,33,435,2
recv,Marquise Brown,49,587,5
recv,Cooper Kupp,47,593,2
recv,Chimere Dike,48,423,4
recv,David Njoku,33,293,4
recv,Evan Engram,50,461,1
recv,Cade Otton,59,572,1
recv,Pat Freiermuth,41,486,4
recv,Theo Johnson,45,528,5
recv,Mason Taylor,44,369,1
recv,Gunnar Helm,44,357,2
recv,Colby Parkinson,43,408,8
recv,Michael Mayer,35,328,1
recv,Jonnu Smith,38,222,2
recv,Noah Fant,34,288,3
recv,Jake Tonges,34,293,5
recv,Dawson Knox,36,417,4
recv,Zach Ertz,50,504,4
